PT_N2_12_2,PT_N2_08,PT_LO2_07,PT_N2_15,PT_N2_16,PT_N2_17,PT_FU_01_2,PT_GO2_05
-374.9102783203125,-1249.5830078125,-374.96636962890625,-75.01807403564453,-75.01773834228516,-74.9984359741211,-499.7450866699219,-374.62591552734375
-374.8795471191406,-1249.7879638671875,-375.0278625488281,-75.00577545166016,-75.05463409423828,-75.04151153564453,-500.2372741699219,-375.11798095703125
-375.1253662109375,-1250.6077880859375,-375.3045959472656,-75.0365219116211,-75.0484848022461,-75.04151153564453,-500.4013366699219,-375.2717590332031
-374.8180847167969,-1250.095458984375,-375.1816101074219,-75.0303726196289,-75.0423355102539,-75.03535461425781,-500.0321960449219,-374.9027099609375
-374.9717102050781,-1249.275634765625,-374.8126220703125,-75.02422332763672,-75.00543975830078,-74.9984359741211,-499.9091491699219,-374.8719482421875
-375.1253662109375,-1250.6077880859375,-375.2738342285156,-75.0303726196289,-75.01158905029297,-74.9984359741211,-499.9501647949219,-374.9334411621094
-374.94097900390625,-1249.5830078125,-374.8741149902344,-74.9873275756836,-75.01158905029297,-75.0107421875,-500.1142272949219,-374.9642028808594
-374.94097900390625,-1249.992919921875,-374.93560791015625,-74.9873275756836,-74.98699188232422,-74.9922866821289,-499.8271179199219,-374.8719482421875
-375.3097229003906,-1250.50537109375,-375.1200866699219,-75.00577545166016,-74.9931411743164,-74.98612976074219,-499.7450866699219,-374.9642028808594
-375.00244140625,-1249.992919921875,-375.08935546875,-75.01192474365234,-74.9992904663086,-74.98612976074219,-499.8271179199219,-374.8719482421875
-375.0946350097656,-1250.1978759765625,-375.05859375,-74.99962615966797,-74.98699188232422,-74.98612976074219,-499.8681335449219,-374.9334411621094
-375.00244140625,-1249.685546875,-374.9971008300781,-75.00577545166016,-75.00543975830078,-74.97998046875,-499.9091491699219,-375.2102355957031
-374.94097900390625,-1249.4805908203125,-374.96636962890625,-74.99962615966797,-75.02388763427734,-75.0107421875,-499.7861022949219,-374.62591552734375
-374.84881591796875,-1249.5830078125,-374.8741149902344,-74.99347686767578,-74.9992904663086,-75.01689910888672,-500.1142272949219,-374.9949645996094
-375.0946350097656,-1249.8905029296875,-374.93560791015625,-74.9873275756836,-75.01158905029297,-75.0107421875,-500.2782897949219,-375.17950439453125
-375.217529296875,-1250.50537109375,-375.1200866699219,-75.02422332763672,-74.9931411743164,-74.95536804199219,-499.5810546875,-374.6566467285156
-375.3404541015625,-1250.6077880859375,-375.08935546875,-74.99347686767578,-74.97468566894531,-74.9676742553711,-499.8271179199219,-374.9334411621094
-375.3404541015625,-1250.6077880859375,-375.2738342285156,-75.02422332763672,-75.03003692626953,-75.03535461425781,-500.3193054199219,-375.333251953125
-374.63372802734375,-1250.1978759765625,-375.24310302734375,-74.99962615966797,-75.01158905029297,-74.98612976074219,-499.8681335449219,-375.05645751953125
-374.9717102050781,-1250.812744140625,-375.0278625488281,-74.99962615966797,-74.9808349609375,-74.98612976074219,-499.9091491699219,-374.9949645996094
-375.1867980957031,-1250.812744140625,-375.3045959472656,-74.99962615966797,-74.98699188232422,-74.9984359741211,-499.9501647949219,-374.9334411621094
-375.00244140625,-1250.812744140625,-375.1816101074219,-75.00577545166016,-74.9992904663086,-74.98612976074219,-499.8681335449219,-374.8719482421875
-374.8795471191406,-1249.7879638671875,-375.05859375,-74.99347686767578,-74.98699188232422,-74.98612976074219,-500.1142272949219,-375.2102355957031
-374.94097900390625,-1249.7879638671875,-374.8741149902344,-74.9873275756836,-74.9931411743164,-74.9984359741211,-499.8681335449219,-374.9642028808594
-374.84881591796875,-1249.685546875,-374.9048767089844,-74.98118591308594,-74.9808349609375,-74.97998046875,-499.7861022949219,-374.8104248046875
-374.7259216308594,-1250.3004150390625,-375.3045959472656,-74.9873275756836,-74.9992904663086,-74.9984359741211,-499.9091491699219,-375.08721923828125
-375.3097229003906,-1250.095458984375,-375.0278625488281,-74.98118591308594,-74.98699188232422,-74.9984359741211,-500.0321960449219,-374.9334411621094
-375.06390380859375,-1249.275634765625,-374.72039794921875,-74.9873275756836,-75.03003692626953,-75.0230484008789,-500.0321960449219,-374.9949645996094
-375.00244140625,-1249.8905029296875,-374.9048767089844,-74.9873275756836,-75.00543975830078,-75.0107421875,-499.9911804199219,-374.9642028808594
-374.84881591796875,-1249.8905029296875,-375.05859375,-75.01807403564453,-75.03003692626953,-74.9922866821289,-499.6630554199219,-374.6874084472656
-374.787353515625,-1249.685546875,-375.05859375,-75.01192474365234,-74.9931411743164,-74.97382354736328,-499.8271179199219,-375.364013671875
-375.0331726074219,-1249.275634765625,-374.6281433105469,-74.96273803710938,-74.98699188232422,-75.0230484008789,-500.3603210449219,-375.2717590332031
-374.84881591796875,-1250.915283203125,-374.96636962890625,-74.99962615966797,-74.9808349609375,-74.97382354736328,-500.0732116699219,-374.9334411621094
-375.0946350097656,-1249.992919921875,-374.96636962890625,-74.99347686767578,-75.00543975830078,-74.9922866821289,-499.8681335449219,-374.9027099609375
-375.37115478515625,-1249.8905029296875,-374.8126220703125,-74.9873275756836,-75.02388763427734,-74.9922866821289,-499.7861022949219,-374.9027099609375
-374.9717102050781,-1249.685546875,-374.8433837890625,-74.96888732910156,-74.9808349609375,-75.00459289550781,-500.1142272949219,-375.11798095703125
-375.15606689453125,-1249.8905029296875,-374.96636962890625,-74.98118591308594,-74.9808349609375,-75.00459289550781,-500.4013366699219,-375.05645751953125
-375.217529296875,-1250.812744140625,-374.72039794921875,-74.94429016113281,-74.96853637695312,-75.03535461425781,-500.2372741699219,-374.9334411621094
-374.9717102050781,-1249.992919921875,-374.93560791015625,-74.99347686767578,-74.98699188232422,-74.98612976074219,-499.8681335449219,-374.9642028808594
-374.94097900390625,-1249.7879638671875,-374.96636962890625,-75.0303726196289,-75.02388763427734,-74.97382354736328,-499.6220397949219,-374.9334411621094
-374.94097900390625,-1249.7879638671875,-374.8741149902344,-74.99962615966797,-75.01158905029297,-75.02920532226562,-500.1142272949219,-374.6874084472656
-374.8180847167969,-1250.50537109375,-375.08935546875,-75.00577545166016,-74.9931411743164,-74.98612976074219,-499.9911804199219,-375.0257263183594
-374.94097900390625,-1249.275634765625,-374.8126220703125,-75.02422332763672,-75.03003692626953,-74.97998046875,-499.9091491699219,-374.9027099609375
-374.8795471191406,-1249.685546875,-374.9971008300781,-75.01807403564453,-75.0484848022461,-74.9984359741211,-499.6220397949219,-374.6874084472656
-375.00244140625,-1249.8905029296875,-374.96636962890625,-74.9873275756836,-74.98699188232422,-74.9922866821289,-499.9911804199219,-374.9027099609375
-374.9102783203125,-1249.7879638671875,-374.9048767089844,-74.99347686767578,-74.97468566894531,-74.98612976074219,-499.9091491699219,-374.9027099609375
-375.06390380859375,-1249.685546875,-374.93560791015625,-74.99962615966797,-74.9931411743164,-74.97382354736328,-499.9911804199219,-375.17950439453125
-374.9102783203125,-1250.6077880859375,-375.24310302734375,-75.00577545166016,-74.9992904663086,-74.97998046875,-499.9091491699219,-374.9949645996094
-374.94097900390625,-1249.8905029296875,-374.96636962890625,-74.99347686767578,-74.9992904663086,-74.9984359741211,-499.7861022949219,-374.9334411621094
-374.787353515625,-1250.50537109375,-375.08935546875,-74.99347686767578,-74.9808349609375,-74.98612976074219,-500.0321960449219,-374.9949645996094
-375.2482604980469,-1250.1978759765625,-374.93560791015625,-74.96273803710938,-74.93778991699219,-74.9676742553711,-499.7861022949219,-375.05645751953125
-374.8180847167969,-1249.275634765625,-374.72039794921875,-74.96888732910156,-74.96238708496094,-74.96151733398438,-499.6220397949219,-374.7796936035156
-374.9102783203125,-1249.992919921875,-374.96636962890625,-74.99962615966797,-74.9992904663086,-74.9984359741211,-500.0732116699219,-374.9949645996094
-374.9717102050781,-1249.7879638671875,-374.93560791015625,-75.00577545166016,-75.0423355102539,-75.0107421875,-499.7040710449219,-374.7489318847656
-374.8795471191406,-1250.095458984375,-375.21234130859375,-74.99347686767578,-74.96238708496094,-74.96151733398438,-500.0321960449219,-375.3025207519531
-374.84881591796875,-1249.7879638671875,-374.9971008300781,-75.00577545166016,-74.98699188232422,-74.9922866821289,-499.8271179199219,-374.9334411621094
-374.8795471191406,-1249.992919921875,-375.1816101074219,-75.01807403564453,-75.01158905029297,-74.96151733398438,-499.6220397949219,-374.9642028808594
-374.7566223144531,-1250.40283203125,-375.21234130859375,-74.99962615966797,-74.9992904663086,-74.98612976074219,-499.9091491699219,-374.9949645996094
-375.1867980957031,-1250.6077880859375,-375.1200866699219,-75.01192474365234,-74.9808349609375,-74.96151733398438,-499.6220397949219,-374.6874084472656
-374.8795471191406,-1249.5830078125,-374.9048767089844,-74.9873275756836,-74.98699188232422,-74.9984359741211,-499.8271179199219,-374.9334411621094
-374.94097900390625,-1249.992919921875,-374.9048767089844,-74.9873275756836,-75.00543975830078,-75.00459289550781,-499.9911804199219,-374.8719482421875
-375.3404541015625,-1249.992919921875,-374.9971008300781,-74.9873275756836,-74.98699188232422,-74.98612976074219,-500.0321960449219,-375.05645751953125
-374.84881591796875,-1249.7879638671875,-374.93560791015625,-74.9873275756836,-75.01158905029297,-75.02920532226562,-500.3193054199219,-374.8719482421875
-375.217529296875,-1250.7103271484375,-375.2738342285156,-75.0365219116211,-75.03003692626953,-75.02920532226562,-500.1962585449219,-375.17950439453125
-375.00244140625,-1250.1978759765625,-375.05859375,-74.99347686767578,-74.9931411743164,-74.97998046875,-499.8271179199219,-374.9642028808594
-374.8180847167969,-1249.992919921875,-375.05859375,-75.01807403564453,-75.03618621826172,-75.03535461425781,-500.3193054199219,-375.2717590332031
-375.00244140625,-1250.1978759765625,-375.1200866699219,-74.99962615966797,-74.98699188232422,-74.98612976074219,-499.8681335449219,-374.8411865234375
-375.0331726074219,-1250.50537109375,-375.1508483886719,-74.96273803710938,-74.95623779296875,-75.0230484008789,-500.1142272949219,-374.9949645996094
-375.06390380859375,-1249.8905029296875,-374.8741149902344,-74.9873275756836,-74.98699188232422,-75.00459289550781,-499.9911804199219,-374.8411865234375
-374.8795471191406,-1249.0706787109375,-374.8126220703125,-75.01192474365234,-75.03003692626953,-74.9984359741211,-499.9911804199219,-374.8719482421875
-375.15606689453125,-1250.6077880859375,-375.21234130859375,-74.99962615966797,-74.95008850097656,-74.95536804199219,-499.7861022949219,-375.17950439453125
-375.3097229003906,-1249.7879638671875,-374.96636962890625,-74.9873275756836,-74.98699188232422,-74.9984359741211,-500.0732116699219,-374.9949645996094
-374.9102783203125,-1249.992919921875,-375.08935546875,-74.99962615966797,-74.9808349609375,-74.98612976074219,-499.9911804199219,-375.2717590332031
-374.94097900390625,-1249.992919921875,-375.08935546875,-74.99347686767578,-74.9808349609375,-74.97998046875,-499.9091491699219,-374.8719482421875
-374.94097900390625,-1249.5830078125,-374.96636962890625,-75.02422332763672,-75.03003692626953,-74.96151733398438,-499.6630554199219,-375.11798095703125
-375.3097229003906,-1250.50537109375,-374.96636962890625,-74.9873275756836,-74.98699188232422,-74.98612976074219,-499.9911804199219,-374.9334411621094
-374.6644592285156,-1249.4805908203125,-375.1200866699219,-75.0365219116211,-74.98699188232422,-74.9984359741211,-499.8681335449219,-374.8719482421875
-375.3097229003906,-1250.6077880859375,-375.1508483886719,-75.01192474365234,-74.9992904663086,-74.9676742553711,-499.7450866699219,-374.7181701660156
-375.00244140625,-1249.5830078125,-374.93560791015625,-74.9873275756836,-75.00543975830078,-75.0107421875,-499.9911804199219,-374.9334411621094
-374.8795471191406,-1250.1978759765625,-375.21234130859375,-75.02422332763672,-74.98699188232422,-74.94921112060547,-499.6630554199219,-375.11798095703125
-374.9717102050781,-1249.8905029296875,-374.8741149902344,-74.99347686767578,-75.06078338623047,-75.0107421875,-499.5400390625,-374.9027099609375
-374.9102783203125,-1249.7879638671875,-374.9971008300781,-74.99962615966797,-75.02388763427734,-75.0230484008789,-500.2372741699219,-375.05645751953125
-375.0946350097656,-1249.992919921875,-374.8741149902344,-74.99347686767578,-74.9992904663086,-74.9984359741211,-499.9501647949219,-374.8719482421875
-374.94097900390625,-1250.1978759765625,-374.96636962890625,-74.98118591308594,-75.00543975830078,-75.0107421875,-500.1552429199219,-374.8719482421875
-375.0331726074219,-1250.095458984375,-374.96636962890625,-74.98118591308594,-74.9931411743164,-75.0107421875,-500.3193054199219,-374.9949645996094
-375.00244140625,-1249.7879638671875,-374.93560791015625,-74.98118591308594,-74.9931411743164,-74.9984359741211,-499.9091491699219,-374.8719482421875
-375.3097229003906,-1250.1978759765625,-374.7511291503906,-74.96273803710938,-74.96853637695312,-75.00459289550781,-500.3193054199219,-375.3025207519531
-374.9717102050781,-1249.5830078125,-374.8433837890625,-74.97503662109375,-74.98699188232422,-75.0107421875,-500.1552429199219,-374.9949645996094
-375.06390380859375,-1249.7879638671875,-374.93560791015625,-74.97503662109375,-74.97468566894531,-74.9984359741211,-500.2372741699219,-375.2102355957031
-375.00244140625,-1249.7879638671875,-374.93560791015625,-75.00577545166016,-75.01773834228516,-74.9984359741211,-499.8271179199219,-374.8719482421875
-375.06390380859375,-1250.6077880859375,-375.24310302734375,-75.02422332763672,-75.03618621826172,-75.01689910888672,-499.9911804199219,-374.62591552734375
-374.9102783203125,-1249.5830078125,-374.8741149902344,-74.98118591308594,-74.9808349609375,-74.97998046875,-499.8681335449219,-374.9334411621094
-374.94097900390625,-1249.7879638671875,-375.05859375,-75.00577545166016,-74.97468566894531,-74.98612976074219,-500.1962585449219,-375.11798095703125
-375.00244140625,-1249.685546875,-374.96636962890625,-75.02422332763672,-75.02388763427734,-74.97998046875,-499.6630554199219,-374.7181701660156
-375.3404541015625,-1250.7103271484375,-374.96636962890625,-74.97503662109375,-74.97468566894531,-74.9984359741211,-500.0732116699219,-375.05645751953125
-375.0331726074219,-1249.7879638671875,-374.8741149902344,-74.99347686767578,-74.9992904663086,-75.01689910888672,-500.2782897949219,-374.8411865234375
-375.217529296875,-1250.1978759765625,-375.0278625488281,-74.99347686767578,-74.98699188232422,-74.9984359741211,-500.0321960449219,-374.9949645996094
-375.217529296875,-1250.6077880859375,-375.0278625488281,-74.96888732910156,-74.95008850097656,-74.97382354736328,-500.1142272949219,-375.3025207519531
-374.6644592285156,-1249.8905029296875,-375.24310302734375,-74.99962615966797,-74.98699188232422,-74.9984359741211,-499.8271179199219,-374.9027099609375
-375.0331726074219,-1250.6077880859375,-374.9971008300781,-74.96273803710938,-74.95623779296875,-75.01689910888672,-500.2782897949219,-374.9334411621094
-374.9102783203125,-1249.7879638671875,-375.05859375,-75.02422332763672,-75.03618621826172,-75.0230484008789,-499.9911804199219,-374.7489318847656
-374.8795471191406,-1249.7879638671875,-374.93560791015625,-75.00577545166016,-74.98699188232422,-74.98612976074219,-500.3603210449219,-375.3025207519531
-374.8180847167969,-1249.8905029296875,-375.08935546875,-74.99962615966797,-74.9931411743164,-74.97998046875,-499.9091491699219,-374.9642028808594
-375.06390380859375,-1249.3780517578125,-374.72039794921875,-74.96273803710938,-75.00543975830078,-75.04766082763672,-499.9501647949219,-374.9334411621094
-375.00244140625,-1249.685546875,-374.8741149902344,-74.99962615966797,-74.9992904663086,-74.98612976074219,-499.8681335449219,-375.17950439453125
-375.1253662109375,-1249.992919921875,-374.93560791015625,-74.99347686767578,-74.9931411743164,-75.00459289550781,-499.9911804199219,-374.9027099609375
-375.0331726074219,-1249.7879638671875,-374.8741149902344,-74.98118591308594,-75.01158905029297,-75.0230484008789,-500.1142272949219,-374.7489318847656
-374.9717102050781,-1248.9681396484375,-374.68963623046875,-74.99962615966797,-75.0423355102539,-75.00459289550781,-499.9911804199219,-374.9334411621094
-375.0331726074219,-1249.8905029296875,-374.8741149902344,-74.9873275756836,-74.97468566894531,-74.97382354736328,-499.8681335449219,-374.9027099609375
-374.84881591796875,-1249.4805908203125,-374.9971008300781,-75.01192474365234,-75.01158905029297,-74.98612976074219,-499.7861022949219,-374.9334411621094
